SampleID,SampleName,U_(ppm),±_U_(ppm),Th_(ppm),±_Th_(ppm),Sm_(ppm),±_Sm_(ppm),He_(nmol/g),±_He_(nmol/g),Th/U,eU_(ppm),U_(ng),±_U_(ng),Th_(ng),±_Th_(ng),Sm_(ng),±_Sm_(ng),He_(ncc),±_He_(ncc),He_(ncc/g),±_He_(ncc/g),U_(nmol),±_U_(nmol),Th_(nmol),±_Th_(nmol),Sm_(nmol),±_Sm_(nmol),He_(nmol),±_He_(nmol),U_(nmol/g),±_U_(nmol/g),Th_(nmol/g),±_Th_(nmol/g),Sm_(nmol/g),±_Sm_(nmol/g)
1.0001,BAH-F124-111.2-(a)-6,28.24,,0.14,,,,6.44,,0.005,28.27,,,,,,,,,,,,,,,,,,,,,,,,
1.0002,BAH-F124-111.2-(a)-7,59.67,,0.20,,,,13.54,,0.003,59.72,,,,,,,,,,,,,,,,,,,,,,,,
1.0003,BAH-F124-111.2-(b)-1,77.69,,0.02,,,,17.45,,0.000,77.69,,,,,,,,,,,,,,,,,,,,,,,,
1.0004,BAH-F124-111.2-(b)-2,96.97,,0.05,,,,22.88,,0.001,96.98,,,,,,,,,,,,,,,,,,,,,,,,
1.0005,BAH-F124-111.2-(b)-3,103.44,,0.05,,,,24.66,,0.000,103.45,,,,,,,,,,,,,,,,,,,,,,,,
1.0006,BAH-F124-111.2-(b)-4,70.29,,0.02,,,,17.02,,0.000,70.29,,,,,,,,,,,,,,,,,,,,,,,,
1.0007,BAH-F124-114-(a)-1,149.53,,0.05,,,,7.85,,0.000,149.54,,,,,,,,,,,,,,,,,,,,,,,,
1.0008,BAH-F124-114-(a)-2,152.79,,0.03,,,,8.33,,0.000,152.80,,,,,,,,,,,,,,,,,,,,,,,,
1.0009,BAH-F124-114-(a)-3,120.30,,0.00,,,,7.63,,0.000,120.30,,,,,,,,,,,,,,,,,,,,,,,,
1.001,BAH-F124-114-(a)-4,156.17,,0.00,,,,8.56,,0.000,156.17,,,,,,,,,,,,,,,,,,,,,,,,
1.0011,BAH-F124-114-(a)-5,154.71,,0.01,,,,8.31,,0.000,154.71,,,,,,,,,,,,,,,,,,,,,,,,
1.0012,BAH-F124-114-(a)-6,162.31,,,,,,8.95,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0013,BAH-F124-114-(a)-7,155.80,,,,,,8.39,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0014,BAH-F124-114-(a)-8,15.79,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0015,BAH-F124-114-(a)-9,160.46,,,,,,9.02,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0016,BAH-F124-114-(b)-1,325.63,,0.03,,,,18.02,,0.000,325.64,,,,,,,,,,,,,,,,,,,,,,,,
1.0017,BAH-F124-114-(b)-2,368.81,,0.05,,,,21.47,,0.000,368.82,,,,,,,,,,,,,,,,,,,,,,,,
1.0018,BAH-F124-114-(b)-3,329.83,,0.02,,,,19.64,,0.000,329.83,,,,,,,,,,,,,,,,,,,,,,,,
1.0019,BAH-F124-114-(b)-4,288.13,,0.01,,,,17.80,,0.000,288.13,,,,,,,,,,,,,,,,,,,,,,,,
1.002,BAH-F124-114-(b)-5,250.95,,0.02,,,,16.18,,0.000,250.95,,,,,,,,,,,,,,,,,,,,,,,,
1.0021,BAH-F124-114-(c)-1,312.68,,0.03,,,,18.08,,0.000,312.69,,,,,,,,,,,,,,,,,,,,,,,,
1.0022,BAH-F124-114-(c)-2,265.29,,0.06,,,,15.60,,0.000,265.30,,,,,,,,,,,,,,,,,,,,,,,,
1.0023,BAH-F124-114-(c)-3,246.92,,,,,,15.77,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0024,BAH-F124-114-(c)-4,260.23,,0.03,,,,19.67,,0.000,260.24,,,,,,,,,,,,,,,,,,,,,,,,
1.0025,BAH-F124-114-(c)-5,280.50,,0.01,,,,15.51,,0.000,280.50,,,,,,,,,,,,,,,,,,,,,,,,
1.0026,BAH-F124-114-(c)-6,269.60,,0.03,,,,15.05,,0.000,269.61,,,,,,,,,,,,,,,,,,,,,,,,
