RefID,SampleID,SampleName,LaboratoryCode,Calculated_Age_(Ma),±_CalcAge,Corrected_Age_(Ma)_[5-15%_or_4/3],±_CorrAge
1,1.0001,BAH-F124-111.2-(a)-6,,41.71,0.47,46.09,4.61
1,1.0002,BAH-F124-111.2-(a)-7,,41.56,0.47,45.92,4.59
1,1.0003,BAH-F124-111.2-(b)-1,,41.17,0.45,45.49,4.55
1,1.0004,BAH-F124-111.2-(b)-2,,43.24,0.48,47.78,4.78
1,1.0005,BAH-F124-111.2-(b)-3,,43.68,0.48,48.27,4.83
1,1.0006,BAH-F124-111.2-(b)-4,,44.36,0.49,49.02,4.90
1,1.0007,BAH-F124-114-(a)-1,,9.65,0.11,11.00,1.10
1,1.0008,BAH-F124-114-(a)-2,,10.03,0.11,11.43,1.14
1,1.0009,BAH-F124-114-(a)-3,,11.67,0.12,13.30,1.33
1,1.001,BAH-F124-114-(a)-4,,10.08,0.11,11.49,1.15
1,1.0011,BAH-F124-114-(a)-5,,9.88,0.11,11.26,1.13
1,1.0012,BAH-F124-114-(a)-6,,10.14,0.11,11.56,1.16
1,1.0013,BAH-F124-114-(a)-7,,9.90,0.11,11.29,1.13
1,1.0014,BAH-F124-114-(a)-8,,10.78,0.12,12.29,1.23
1,1.0015,BAH-F124-114-(a)-9,,10.34,0.12,11.79,1.18
1,1.0016,BAH-F124-114-(b)-1,,10.18,0.11,11.61,1.16
1,1.0017,BAH-F124-114-(b)-2,,10.70,0.12,12.20,1.22
1,1.0018,BAH-F124-114-(b)-3,,10.95,0.12,12.48,1.25
1,1.0019,BAH-F124-114-(b)-4,,11.36,0.12,12.95,1.30
1,1.002,BAH-F124-114-(b)-5,,11.86,0.13,13.52,1.35
1,1.0021,BAH-F124-114-(c)-1,,10.63,0.15,12.12,1.21
1,1.0022,BAH-F124-114-(c)-2,,10.81,0.12,12.32,1.23
1,1.0023,BAH-F124-114-(c)-3,,11.74,0.15,13.38,1.34
1,1.0024,BAH-F124-114-(c)-4,,13.89,0.12,15.83,1.58
1,1.0025,BAH-F124-114-(c)-5,,10.17,0.10,11.59,1.16
1,1.0026,BAH-F124-114-(c)-6,,10.26,0.13,11.70,1.17
1,1.0027,BAH-F124-114-(c)-7,,10.69,0.13,12.19,1.22
1,1.0028,BAH-F124-114-(c)-8,,10.79,0.13,12.30,1.23
1,1.0029,BAH-F124-114-(c)-9,,8.97,0.12,10.23,1.02
1,1.003,BAH-F124-118,,30.38,0.34,33.42,3.34
1,1.0031,BAH-F124-123,,15.80,0.18,17.38,1.74
1,1.0032,B01-009-(a),,61.02,0.61,67.12,6.71
1,1.0033,B01-009-(c),,36.87,0.37,40.56,4.06
1,1.0034,B01-009-(e),,26.70,0.27,29.37,2.94
1,1.0035,B01-009-(g),,8.33,0.08,9.16,0.92
1,1.0036,MI-2000-09,,15.61,0.18,17.17,1.72
,,,,,,,
2,2.0001,Yan02-01-A(a),,10.00,0.30,11.40,1.14
2,2.0002,Yan02-01-B(b),,9.40,0.30,11.00,1.60
2,2.0003,Yan02-01-D1(c) ,,13.60,0.40,15.90,2.30
2,2.0004,Yan02-01-D1(d) ,,13.30,0.40,15.60,2.20
2,2.0005,Yan02-01-D2(c) ,,10.70,0.30,12.50,1.80
2,2.0006,Yan02-01-D2(d) ,,11.00,0.30,12.80,1.90
2,2.0007,Yan02-02-1(b),,10.30,0.30,12.10,1.80
2,2.0008,Yan02-02-1(a),,8.60,0.30,10.00,1.50
2,2.0009,Yan02-03(a),,11.90,0.40,14.00,2.00
2,2.001,Yan02-03(b),,10.00,0.30,11.70,1.70
2,2.0011,Yan02-08-4(a),,8.50,0.30,10.00,1.50
2,2.0012,Yan02-08-4(b),,7.20,0.20,8.40,1.20
2,2.0013,Yan02-04-A(a),,4.60,0.10,5.30,0.80
2,2.0014,Yan02-04-A(b),,5.80,0.20,6.80,1.10
2,2.0015,Yan02-05(a),,4.40,0.10,5.20,0.80
2,2.0016,Yan02-05(b),,5.00,0.10,5.80,0.80
2,2.0017,Yan02-06(a),,11.70,0.40,13.70,2.00
2,2.0018,Yan02-06(b),,12.90,0.40,15.10,2.20
2,2.0019,Yan02-09-A(a),,6.30,0.20,7.40,1.10
2,2.002,Yan02-09-A(b),,7.90,0.20,9.20,1.30
,,,,,,,
3,3.0001,Lynp02-08C(a),,3.30,0.20,,
3,3.0002,Lynp02-09-A1(a),,28.20,1.70,33.00,4.80
3,3.0003,Lynp02-09-A2(a),,31.70,1.90,37.10,5.40
3,3.0004,Lynp02-09-A3(a),,36.90,2.20,43.20,6.30
3,3.0005,Lynp02-09-A5(a),,27.40,1.60,32.10,4.70
3,3.0006,Lynp02-09-A5(b),,24.00,1.40,28.00,4.10
3,3.0007,MAR02-01-W(a),,18.50,1.10,21.70,3.10
3,3.0008,MAR02-01-W(b),,42.40,2.50,49.60,7.20
