RefID,SampleID,Notes
1,1.0001,4He/3He analysis
1,1.0002,4He/3He analysis
1,1.0003,4He/3He analysis
1,1.0004,4He/3He analysis
1,1.0005,4He/3He analysis
1,1.0006,4He/3He analysis
1,1.0007,4He/3He analysis
1,1.0008,4He/3He analysis
1,1.0009,4He/3He analysis
1,1.001,4He/3He analysis
1,1.0011,4He/3He analysis
1,1.0012,4He/3He analysis
1,1.0013,4He/3He analysis
1,1.0014,4He/3He analysis
1,1.0015,4He/3He analysis
1,1.0016,4He/3He analysis
1,1.0017,4He/3He analysis
1,1.0018,4He/3He analysis
1,1.0019,4He/3He analysis
1,1.002,4He/3He analysis
1,1.0021,4He/3He analysis
1,1.0022,4He/3He analysis
1,1.0023,4He/3He analysis
1,1.0024,4He/3He analysis
1,1.0025,4He/3He analysis
1,1.0026,4He/3He analysis
1,1.0027,4He/3He analysis
1,1.0028,4He/3He analysis
1,1.0029,4He/3He analysis
1,1.003,
1,1.0031,
1,1.0032,
1,1.0033,
1,1.0034,
1,1.0035,
1,1.0036,
,,
2,2.0001,4He/3He analysis
2,2.0002,4He/3He analysis
2,2.0003,4He/3He analysis
2,2.0004,4He/3He analysis
2,2.0005,4He/3He analysis
2,2.0006,4He/3He analysis
2,2.0007,4He/3He analysis
2,2.0008,4He/3He analysis
2,2.0009,4He/3He analysis
2,2.001,4He/3He analysis
2,2.0011,4He/3He analysis
2,2.0012,4He/3He analysis
2,2.0013,4He/3He analysis
2,2.0014,4He/3He analysis
2,2.0015,4He/3He analysis
2,2.0016,4He/3He analysis
2,2.0017,4He/3He analysis
2,2.0018,4He/3He analysis
2,2.0019,4He/3He analysis
2,2.002,4He/3He analysis
,,
3,3.0001,
3,3.0002,LRD: 5%; HRD: 10%
3,3.0003,LRD: 5%; HRD: 10%
3,3.0004,LRD: 5%; HRD: 10%
3,3.0005,LRD: 5%; HRD: 10%
3,3.0006,LRD: 5%; HRD: 10%
3,3.0007,LRD: 5%; HRD: 10%
3,3.0008,LRD: 5%; HRD: 10%
3,3.0009,LRD: 5%; HRD: 10%
3,3.001,LRD: 5%; HRD: 10%
3,3.0011,LRD: 5%; HRD: 10%
3,3.0012,LRD: 5%; HRD: 10%
3,3.0013,LRD: 5%; HRD: 10%
3,3.0014,LRD: 5%; HRD: 10%
3,3.0015,LRD: 5%; HRD: 10%
3,3.0016,LRD: 5%; HRD: 10%
3,3.0017,LRD: 5%; HRD: 10%
3,3.0018,LRD: 5%; HRD: 10%
3,3.0019,LRD: 5%; HRD: 10%
3,3.002,LRD: 5%; HRD: 10%
3,3.0021,LRD: 5%; HRD: 10%
3,3.0022,LRD: 5%; HRD: 10%
3,3.0023,LRD: 5%; HRD: 10%
3,3.0024,LRD: 5%; HRD: 10%
3,3.0025,LRD: 5%; HRD: 10%
3,3.0026,LRD: 5%; HRD: 10%
3,3.0027,LRD: 5%; HRD: 10%
3,3.0028,LRD: 5%; HRD: 10%
3,3.0029,LRD: 5%; HRD: 10%
3,3.003,LRD: 5%; HRD: 10%
3,3.0031,LRD: 5%; HRD: 10%
3,3.0032,LRD: 5%; HRD: 10%
3,3.0033,LRD: 5%; HRD: 10%
3,3.0034,LRD: 5%; HRD: 10%
3,3.0035,LRD: 5%; HRD: 10%
3,3.0036,LRD: 5%; HRD: 10%
3,3.0037,LRD: 5%; HRD: 10%
3,3.0038,LRD: 5%; HRD: 10%
3,3.0039,LRD: 5%; HRD: 10%
3,3.004,LRD: 5%; HRD: 10%
3,3.0041,LRD: 5%; HRD: 10%
3,3.0042,LRD: 5%; HRD: 10%
3,3.0043,LRD: 5%; HRD: 10%
3,3.0044,LRD: 5%; HRD: 10%
3,3.0045,LRD: 5%; HRD: 10%
3,3.0046,LRD: 5%; HRD: 10%
3,3.0047,LRD: 5%; HRD: 10%
3,3.0048,LRD: 5%; HRD: 10%
3,3.0049,LRD: 5%; HRD: 10%
3,3.005,LRD: 5%; HRD: 10%
,,
4,4.0001,
4,4.0002,
4,4.0003,
4,4.0004,
4,4.0005,
4,4.0006,
4,4.0007,
4,4.0008,
4,4.0009,
4,4.001,
4,4.0011,
4,4.0012,
4,4.0013,
4,4.0014,
4,4.0015,
4,4.0016,
4,4.0017,
4,4.0018,
4,4.0019,
4,4.002,
4,4.0021,
4,4.0022,
4,4.0023,
4,4.0024,
4,4.0025,
4,4.0026,
4,4.0027,
4,4.0028,
4,4.0029,
4,4.003,
4,4.0031,
4,4.0032,
4,4.0033,
4,4.0034,
4,4.0035,
4,4.0036,
4,4.0037,
4,4.0038,
4,4.0039,
4,4.004,
4,4.0041,
4,4.0042,
4,4.0043,
4,4.0044,
4,4.0045,
4,4.0046,
4,4.0047,
4,4.0048,
4,4.0049,
4,4.005,
4,4.0051,
4,4.0052,
4,4.0053,
4,4.0054,
4,4.0055,
4,4.0056,
4,4.0057,
4,4.0058,
4,4.0059,
4,4.006,
4,4.0061,
4,4.0062,
4,4.0063,
4,4.0064,
4,4.0065,
4,4.0066,
4,4.0067,
4,4.0068,
4,4.0069,
4,4.007,
4,4.0071,
4,4.0072,
4,4.0073,
4,4.0074,
4,4.0075,
4,4.0076,
4,4.0077,
4,4.0078,
4,4.0079,
4,4.008,
4,4.0081,
4,4.0082,
4,4.0083,
4,4.0084,
4,4.0085,
4,4.0086,
4,4.0087,
4,4.0088,
4,4.0089,
4,4.009,
4,4.0091,
4,4.0092,
4,4.0093,
4,4.0094,
4,4.0095,
4,4.0096,
4,4.0097,
4,4.0098,
4,4.0099,
4,4.01,
4,4.0101,
4,4.0102,
4,4.0103,
4,4.0104,
4,4.0105,
4,4.0106,
4,4.0107,
4,4.0108,
4,4.0109,
4,4.011,
4,4.0111,
4,4.0112,
4,4.0113,
4,4.0114,
4,4.0115,
4,4.0116,
4,4.0117,
4,4.0118,
4,4.0119,
4,4.012,
4,4.0121,
4,4.0122,
4,4.0123,
4,4.0124,
4,4.0125,
4,4.0126,
4,4.0127,
4,4.0128,
4,4.0129,
4,4.013,
4,4.0131,
4,4.0132,
4,4.0133,
4,4.0134,
4,4.0135,
4,4.0136,
4,4.0137,
4,4.0138,
4,4.0139,
4,4.014,
4,4.0141,
4,4.0142,
4,4.0143,
4,4.0144,
4,4.0145,
4,4.0146,
4,4.0147,
4,4.0148,
4,4.0149,
4,4.015,
4,4.0151,
4,4.0152,
4,4.0153,
4,4.0154,
4,4.0155,
4,4.0156,
4,4.0157,
4,4.0158,
4,4.0159,
4,4.016,
4,4.0161,
4,4.0162,
4,4.0163,
4,4.0164,
4,4.0165,
4,4.0166,
4,4.0167,
4,4.0168,
4,4.0169,
4,4.017,
4,4.0171,
4,4.0172,
4,4.0173,
4,4.0174,
4,4.0175,
,,
5,5.0001,Analytical uncertainty : ±2%
5,5.0002,Analytical uncertainty : ±2%
5,5.0003,Analytical uncertainty : ±2%
5,5.0004,Analytical uncertainty : ±2%
5,5.0005,Analytical uncertainty : ±2%
5,5.0006,Analytical uncertainty : ±2%
,,
6,6.0001,
6,6.0002,
6,6.0003,
6,6.0004,
6,6.0005,
6,6.0006,
6,6.0007,
6,6.0008,
6,6.0009,
6,6.001,
