RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Geological_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#02,#02-0001,Yan02-01-A(a),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,500,5,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,1.08,,10.00,0.30,11.40,1.14,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0002,Yan02-01-B(b),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,500,5,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,1.24,,9.40,0.30,11.00,1.60,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0003,Yan02-01-D1(c) ,,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,500,5,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.29,,13.60,0.40,15.90,2.30,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0004,Yan02-01-D1(d) ,,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,500,5,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.29,,13.30,0.40,15.60,2.20,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0005,Yan02-01-D2(c) ,,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,500,5,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.47,,10.70,0.30,12.50,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0006,Yan02-01-D2(d) ,,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,500,5,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,0.47,,11.00,0.30,12.80,1.90,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0007,Yan02-02-1(b),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,495,10,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,2.23,,10.30,0.30,12.10,1.80,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0008,Yan02-02-1(a),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,495,10,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,1.54,,8.60,0.30,10.00,1.50,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0009,Yan02-03(a),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,480,25,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,2.10,,11.90,0.40,14.00,2.00,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
#02,#02-0010,Yan02-03(b),,"Yandi Channel Iron deposit, Hamersley Province, WA",Australia,22°45'00''S,119°00'00''E,705368.0019,7482768.2372,50 K,480,25,goethite,"detrital weathered BIF, clays, and organic material (wood fragments)",Channel Iron Deposits,,,,,,,,,1.52,,10.00,0.30,11.70,1.70,,,,,,,,,,,,,,,,,,,,,,,,,,,4He/3He analysis
