RefID,SampleID,Sample Name,LaboratoryCode,Locality,Country,Latitude,Longitude,Easting,Northing,Zone,Elevation (m),Depth (m),Mineral,Lithology,Weathering_Environment,U (ppm),±,Th (ppm),±,Sm (ppm),±,He (nmol/g),±,Th/U,eU (ppm),Calculated Age (Ma),±,Corrected Age (Ma) [5-15% or 4/3],±,U (ng),±,Th (ng),±,Sm (ng),±,He (ncc),±,He (ncc/g),±,U (nmol),±,Th (nmol),±,Sm (nmol),±,He (nmol),±,U (nmol/g),±,Th (nmol/g),±,Sm (nmol/g),±,He (nmol/g),±,Notes
#23,#23-0001,ARIX2-A,,"Santa Isabel do Rio Negro, Amazonas",Brazil, 00°20'32.0?S,65°12'50.4?W,253579.856,9962145.734,20M,46,,goethite,sediments,Lateritized continental sediments,10.1,,4.5,,,,0.12,,0.45,11.16,2,0.1,2.4,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0002,ARIX2-B,,"Santa Isabel do Rio Negro, Amazonas",Brazil, 00°20'32.0?S,65°12'50.4?W,253579.856,9962145.734,20M,46,,goethite,sediments,Lateritized continental sediments,21.2,,3.4,,,,0.18,,0.16,22,1.6,0.1,1.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0003,ARIX2-C,,"Santa Isabel do Rio Negro, Amazonas",Brazil, 00°20'32.0?S,65°12'50.4?W,253579.856,9962145.734,20M,46,,goethite,sediments,Lateritized continental sediments,17.2,,7.2,,,,0.19,,0.42,18.89,1.9,0.1,2.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0004,ARIX2-D,,"Santa Isabel do Rio Negro, Amazonas",Brazil, 00°20'32.0?S,65°12'50.4?W,253579.856,9962145.734,20M,46,,goethite,sediments,Lateritized continental sediments,10.4,,7.6,,,,0.18,,0.73,12.19,2.7,0.1,3.2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0005,ARIX2-E,,"Santa Isabel do Rio Negro, Amazonas",Brazil, 00°20'32.0?S,65°12'50.4?W,253579.856,9962145.734,20M,46,,goethite,sediments,Lateritized continental sediments,15.6,,3.7,,,,0.15,,0.24,16.47,1.7,0.1,2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0006,ARIX2-F,,"Santa Isabel do Rio Negro, Amazonas",Brazil, 00°20'32.0?S,65°12'50.4?W,253579.856,9962145.734,20M,46,,goethite,sediments,Lateritized continental sediments,13.4,,4.7,,,,0.13,,0.35,14.5,1.6,0.1,1.9,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0007,JABU1-A,,"Santa Isabel do Rio Negro, Amazonas",Brazil,00°20'39.6?S,65°02'48.6?W,272194.036,9961916.391,20M,60,,goethite,granite,Lateritized igneous rocks,7.5,,4.9,,,,0.14,,0.65,8.65,3.1,0.2,3.7,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0008,JABU1-B,,"Santa Isabel do Rio Negro, Amazonas",Brazil,00°20'39.6?S,65°02'48.6?W,272194.036,9961916.391,20M,60,,goethite,granite,Lateritized igneous rocks,5.2,,3.6,,,,0.1,,0.69,6.05,3,0.2,3.6,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0009,JABU1-C,,"Santa Isabel do Rio Negro, Amazonas",Brazil,00°20'39.6?S,65°02'48.6?W,272194.036,9961916.391,20M,60,,goethite,granite,Lateritized igneous rocks,4.3,,3.8,,,,0.12,,0.88,5.19,4.3,0.2,5.2,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0010,JABU1-D,,"Santa Isabel do Rio Negro, Amazonas",Brazil,00°20'39.6?S,65°02'48.6?W,272194.036,9961916.391,20M,60,,goethite,granite,Lateritized igneous rocks,5.6,,3.7,,,,0.12,,0.66,6.47,3.4,0.2,4.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0011,JABU1-E,,"Santa Isabel do Rio Negro, Amazonas",Brazil,00°20'39.6?S,65°02'48.6?W,272194.036,9961916.391,20M,60,,goethite,granite,Lateritized igneous rocks,6.1,,3.8,,,,0.13,,0.62,6.99,3.4,0.2,4.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0012,JABU1-F,,"Santa Isabel do Rio Negro, Amazonas",Brazil,00°20'39.6?S,65°02'48.6?W,272194.036,9961916.391,20M,60,,goethite,granite,Lateritized igneous rocks,6,,4.1,,,,0.13,,0.68,6.96,3.4,0.2,4.1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0013,JIC-A,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,14.7,,8.3,,,,0.08,,0.56,16.65,0.9,0.01,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0014,JIC-B,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,13.8,,6.5,,,,0.41,,0.47,15.33,5.1,0.3,6.1,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0015,JIC-C,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,12.8,,4.9,,,,0.19,,0.38,13.95,2.5,0.1,3,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0016,JIC-D,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,5.6,,51.5,,,,0.25,,9.2,17.7,2.6,0.1,3.1,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0017,JIC-E,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,5.7,,60.1,,,,0.32,,10.54,19.82,8.5,0.4,10.2,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0018,JIC-F,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,7.7,,104.4,,,,0.69,,13.56,32.23,12.7,0.6,15.2,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
#23,#23-0019,JIC-G,,"São Gabriel da Cachoeira, Amazonas",Brazil,00°05'54.7?S,67°00'45.3? W,721194.088,9989103.096,19M,90,,goethite,monzogranite,Lateritized igneous rocks,4.9,,88.2,,,,0.22,,18,25.63,6,0.3,7.2,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
